judul,penulis,dosen_1,dosen_2,abstrak_ID,abstrak_EN
PENGARUH RELATIONSHIP MARKETING TERHADAP LOYALITAS NASABAH ADIRA FINANCE DI WILAYAH SURABAYA BARAT,Penulis : ARYA SUBAYU,"Dosen Pembimbing I : Dr.H.Pribanus Wantara.,Drs.,MM","Dosen Pembimbing II :Hadi Purnomo, SE, MM","Tujuan penelitian ini adalah untuk mengetahui pengaruh variabel Relationship Marketing yang terdiri dari keuntungan bersama, komitmen, komunikasi, dan kebenaran terhadap loyalitas nasabah Adira Finance dan untuk mengetahui variabel relationship marketing yang berpengaruh lebih besar terhadap loyalitas nasabah Adira Finance di wilayah Surabaya barat.
Berdasarkan uji F variabel Relationship marketing yang terdiri dari keuntungan bersama, komitmen, komunikasi, kebenaran secara simultan berpengaruh signifikan terhadap loyalitas nasabah Adira Finance wilayah Surabaya barat. Berdasarkan uji t diketahui bahwa secara parsial variabel keuntungan bersama, komitmen, kebenaran berpengaruh signifikan terhadap variabel terikat sedangkan variabel komunikasi berpengaruh negatif terhadap variabel terikat. Variabel yang berpengaruh lebih besar adalah variabel komitmen.  
Kata kunci : Relationship Marketing, keuntungan bersama, komitmen, komunikasi, kebenaran, dan Loyalitas.
","ABSTRACT
The purpose of this research was to determine the effect of variable Relationship Marketing consists of mutual benefits, commitment, communication, and the truth of Adira Finance customer loyalty and relationship marketing to know the variables that affect greater customer loyalty Adira Finance in the West Surabaya.
Based on the F test Relationship marketing variables consist of mutual benefits, commitment, communication, truth simultaneously significant effect on customer loyalty Adira Finance Surabaya western region. Based on t-test is known that partially mutual benefits, commitment, truth have significant effect to  dependent variable while the communication has negative affect. Variables that has bigger affect is commitment.
Keywords: Relationship Marketing, mutual benefits, commitment, communication, truth, and, loyalty.
"
"PENGARUH SELF EFFICACY TERHADAP PRESTASI AKADEMIK MAWAPRES
UNIVERSITAS TRUNOJOYO MADURA
",Penulis : ISTIB SYAROH ,"Dosen Pembimbing I : Dr. Dra. Hj. Iriani Ismail, MM","Dosen Pembimbing II :Drs. Ec. Mudji Kuswinarno, M.Si","Tujuan dari penelitian ini adalah untuk mengetahui seberapa besar pengaruh variabel self efficacy yang terdiri dari; magnitude, generality, strength terhadap prestasi akademik mahasiswa berprestasi Universitas Trunojoyo Madura. Dimana, mahasiswa yang diambil adalah mahasiswa yang mengikuti mawapres Universitas Trunojoyo Madura sebanyak 19 orang. Teknik analisis menggunakan analisis regresi linier berganda. Hipotesis Penelitian ini adalah Self Efficacy yang terdiri dari variabel magnitude, generality, dan strength berpengaruh terhadap prestasi akademik. Berdasarkan pengujian hipotesis dapat diterima. 
Temuan dari penelitian ini menunjukkan bahwa variabel self efficacy yang teridiri dari: Magnitude, Generality, dan Strength berpengaruh signifikan terhadap prestasi akademik mawapres Universitas Trunojoyo Madura. Dan diperoleh nilai (R²) = 0,818 berarti variabel Magnitude, Generality, Strength memberikan pengaruh sebesar 81,8% terhadap prestasi akademik, sedangkan sisanya sebesar 18,2% dipengaruhi oleh faktor lain di luar variabel yang diteliti.
Kata Kunci : Self Efficacy,  Prestasi Akademik","The purpose of this study was to determine how much influence the self-efficacy variables which consist of; magnitude, generality, strength of academically outstanding students to the Trunojoyo University of Madura. The students who taken are students who follow the Trunojoyo University mawapres, they are 19 people. The analysis technic use multiple linear regression analysis. The research hypothesis is Self Efficacy consisting of variable magnitude, generality, and strength affect to academic achievement. 
Based on the testing process hypothesis is acceptable. This study found the indication that self-efficacy variables were comprised of: Magnitude, generality, and strength significantly influence academic achievement mawapres Trunojoyo University of Madura. Andearned value (R ²) = 0.818 means that the variable magnitude, generality, Strength 81,8% influence on academic achievement, while the remaining 18.2% is influenced by other factors beyond the variable studied.
Key Word: Self Efficacy, Academic achievment"
ANALISIS PERSEPSI BRAND ASSOCIATION MENURUT PELANGGAN PAKAIAN KIDDROCK (STUDI PADA DISTRO CRANBERRIES PAMEKASAN),Penulis : Faishal,Dosen Pembimbing I : Nurita Andriani,Dosen Pembimbing II :Yustina Chrismardani,"Tujuan penelitian ini adalah untuk mengetahui persepsi brand association menurut pelanggan pakaian Kiddrock (studi pada distro Cranberries Pamekasan). Penelitian ini menggunakan metode deskriptif, dengan  metode survei.
Populasi penelitian ini adalah pelanggan pakaian Kiddrock di distro Cranberries dan Sampel dalam penelitian ini adalah 70 orang responden di distro Cranberries pada bulan Desember 2012. Metode pengambilan sampel yang digunakan adalah sampling aksidental. Metode pengumpulan data dengan cara penelitian lapangan (field research) dengan membagikan kuesioner dan riset perpustakaan data. Teknik pengolahan data yang digunakan ialah pengolaha data dengan bantuan perangkat lunak SPSS versi 16 (uji validitas dan uji reabilitas) dan menggunakan skala likert.
Persepsi konsumen terhadap brand association terdiri dari beberapa dimensi, yaitu: dimensi jaminan, dimensi identifikasi pribadi, dimensi identifikasi sosial, dimensi status, dimensi kesediaan menerima perluasan merek, dan dimensi kesediaan untuk merekomendasikan merek. Hasil analisis menunjukan bahwa persepsi brand association menurut pelanggan pakaian Kiddrock di distro Cranberriess lebih di apresisasikan pada dimensi jaminan.

Kata kunci : Brand Association, Presepsi, Kiddrock, Cranberries.","This study wanted to know the brand association perception based on kiddrock clothing customer—at cranberries distro pamekasan. This study was descriptive research with survey design.
The population of this study is the kiddrock clothing customer and this study was used sampling design wich got 70 respondents at cranberries distro on December 2012 with accidental sampling design. In this study, the writer used field research with two research instruments. They were: questionnaire  and well-designed data collection. The data processing technique was used the statistical computation or SPSS version 16 (the validity and reliability of tests) and used likert scale.
Customer perception toward brand association consisted of several dimension. They were: guarantee dimensional, personal identification dimensional, social identification dimensional, status dimensional, receptivity brand extension dimensional and providing of brand recommendation dimensional. The result of analysis shown that the brand association perception based on kiddrock clothing customer at cranberries distro more appreciated on guarantee dimensional.

Keywords: Brand Association, Perceptions, Kiddrock, Cranberries."
Pengukuran Website Quality Pada Situs Sistem Akademik Online Menggunakan Analisis Tingkat Kepentingan - Kinerja (Studi Pada Portal Akademik UTM),Penulis : Muhammad Zakaria Utomo,"Dosen Pembimbing I : Dr. Ir. Nurita Andriani, MM","Dosen Pembimbing II :Nirma Kurriwati, SP, M.Si","Aplikasi nyata pemanfaatan teknologi informasi dan komunikasi adalah pada bidang layanan administrasi akademik perguruan tinggi, salah satunya sistem portal akademik Universitas Trunojoyo Madura. Implementasi dalam proses penyelenggaraannya sering menemui banyak kendala, baik teknis maupun non teknis. Penelitian ini bertujuan untuk mengetahui kepuasan pelanggan berdasarkan analisis indeks kepuasan pelanggan ditinjau dari Webqual 4.0 dan untuk mengetahui fokus perbaikan mutu terhadap pelayanan website portal akademik Universitas Trunjoyo Madura berdasarkan Importance Performance Analysis ditinjau dari Webqual 4.0.
	Penelitian ini merupakan penelitian kuantitaif deskriptif, digunakan untuk mengetahui gambaran, deskripsi, atau lukisan secara sistematis, faktual dan akurat mengenai kualitas pelayanan jasa online yang diberikan kepada mahasiswa.Sampelpenelitianiniadalahmahasiswaangkatan 2009/2010, teknik sampel yang digunakan teknik Stratified Random Sampling dengan alat analisis Indeks Kepuasan Pelanggan dan analisis Tingkat Kepentingan – Kinerja. Hasil penelitian didapat skor Indeks Kepuasan Pelanggan (IKP) sebesar 60.42% dan masuk dalam kategori “cukup puas”, sedangkan Diagram  Kartesius Importance Performance menunjukkan bahwa terdapat  tiga atribut yang menjadi prioritas utama perbaikan mutu yakni Situs portal akademik Universitas Trunojoyo Madura memberikan informasi administrasi dan akademik mahasiswa yang jelas,detail dan ter update (KI 4), Informasi administrasi dan akademik disitus portal akademik UTM dapat dipercaya  (KI 3), Melalui portal UTM, pengguna merasa aman bahwa data akademik mahasiswa (KRS, KHS, Transkrip, data personal) sesuai (KIP 4).
Kata kunci : website, importance performance, webqual, indeks kepuasan pelanggan.
","Academic portal system in University of Trunojoyo Madura is one of many implementations of communication and information technology in universities. Its implementation often encountered many obstacles, both technical and non-technical. This study aims at determining the customer satisfaction index based on analysis of customer satisfaction in term of webqual 4.0 and determining the focus of quality improvement of the academic website service in University of Trunojoyo Madura based on importance performance analysis by using webqual 4.0.
	This study is descriptive – quantitative in order to know the description of online service quality received by university student systematically, factually, and accurately. The sample of this study were university student in 2009/2010, andthe sample technique that was used is stratified random sampling with the customer satisfaction index and importance performance as the analysis tools. Result show that the customer satisfaction index is 60.42% and belongs to fairly satisfied category, while cartecius diagram of importance performance shows that there are three attributes which become the main priorities on quality improvement. Those attributes are : academic site of UTM which gives clear, detail, and updated information about academic and administration (KI 4), the administrative and academc information which on academic portal of UTM can be trusted (KI3), through UTM portal, the users feel safety that student academic data (KRS, KHS, Transcript, and personal data) is appropriate with their data (KIP 4).

Keywords: website, importance performance, webqual, customer satisfaction index
"
PENGARUH STRUKTUR MODAL DAN LIKUIDITAS TERHADAP PROFITABILITAS PADA PERUSAHAAN LQ 45 YANG TERDAFTAR DI BEI,Penulis : AHMAD ZAINI ALI,"Dosen Pembimbing I : R. GATOT HERU PRANJOTO, SE., MM","Dosen Pembimbing II :PURNAMAWATI, SE., MSi","Pendekatan penelitian yang digunakan dalam penelitian ini adalah pendekatan kuantitatif. Populasi penelitian adalah perusahaan liquid 45 yang terdaftar di Bursa Efek Indonesia dengan teknik penarikan sampel menggunakan metode Purpossive Sampling kemudian dianalisis menggunakan uji  regresi linier berganda dengan menggunakan bantuan alat analisis Statistical Program for Service Solution (SPSS) versi 16.

Hipotesis penelitian ini adalah: Di duga terdapat pengaruh secara parsial maupun simultan antara variabel Rasio Likuiditas (Current Ratio) Dan Struktur Modal (Debt To Equity Ratio) dengan  Profitabilitas (ROE) pada perusahaan liquid 45 yang terdaftar di Bursa Efek Indonesia.

Hasil dari penelitian ini menunjukkan bahwa variabel current ratio secara parsial tidak memiliki pengaruh yang tidak signifikan dengan Profitabilitas (ROE), sedangkan  pada variabel debt to equity ratio secara parsial tidak memiliki pengaruh yang tidak signifikan dengan Profitabilitas (ROE). Berdasarkan hasil uji simultan (uji F) didapatkan hasil bahwa Current Ratio dan Debt To Equity Ratio tidak memiliki pengaruh yang tidak signifikan terhadap Profitabilitas pada perusahaan-perusahaan LQ 45.

Kata kunci: Likuiditas (Current Ratio) Dan Struktur Modal (Debt To Equity Ratio) dan Profitabilitas  	(ROE)
","The research approach used in this study is a quantitative approach. The study population was 45 liquid companies listed on the Indonesia Stock Exchange with a sampling technique using purposive sampling method was analyzed using multiple linear regression analysis tool with the help of Statistical Program for Service Solution (SPSS) version 16.

	The hypothesis of this study is: guess there is a partial or simultaneous effects between variables Liquidity Ratios (Current Ratio) and Capital Structure (Debt To Equity Ratio) and Profitability (ROE) in the liquid 45 companies listed in the Indonesia Stock Exchange.

	The results of this study indicate that the current ratio is partially variable does not have significant influences profitability (ROE), while the variable debt to equity ratio is partially not have a significant influence profitability (ROE). Based on the results of the simultaneous test (F test) showed that the Current Ratio and Debt To Equity Ratio has no significant influences  on the profitability of companies LQ 45.

Keywords: Liquidity (Current Ratio) and Capital Structure (Debt To Equity Ratio) and Profitability (ROE)
"
PENGARUH FAKTOR-FAKTOR PELATIHAN DAN PENGEMBANGAN TERHADAP PRODUKTIVITAS KERJA DINAS KELAUTAN DAN PERIKANAN KABUPATEN BANGKALAN,Penulis : SATIYAH,"Dosen Pembimbing I : Dra. Hj. S. Anugrahini Irawati, MM","Dosen Pembimbing II :Helmi Buyung Aulia,S,ST.SE,M.MT","                                    ABSTRAK
Satiyah, Pengaruh Faktor-faktor Pelatihan dan Pengembangan Terhadap Produktivitas Kerja Dinas Kelautan dan Perikanan Bangkalan. Dibawah bimbingan Dra.Hj.S.Anugrahini Irawati,MM dan  Helmi Buyung Aulia,S,ST.SE,M.MT
Dalam upaya meningkatkan produktivitas kerja tidaklah mudah, oleh karena itu salah satu usaha agar produktivitas meningkat adalah menerapkan program pelatihan dan pengembangan sumber daya manusia (SDM) perlu dilaksanakan dalam instansi agar produktivitas yang tinggi dapat tercapai dengan meningkat kemampuan pegawai agar dapat bekerja secara efektif dan efisien. Dengan adanya pelatihan dan pengembnagan diharapkan pegawai juga mampu menyesuaikan diri dengan kebutuhan-kebutuhan baru atas sikap, tingkah laku keterampilan dan pengetahuan sesuai dengan tuntutan perubahan. Dengan adanya pelatihan dan pengembangan pegawai yang baik dapat mendukung terciptanya suasana kerja yang kondusif dalam instansi, sehingga dengan sendirinya produktivitasi kerja akan meningkat.
Tujuan penelitian ini adalah untuk mengetahui seberapa besar Pengaruh Faktor-faktor Pelatihan dan Pengembangan Terhadap Produktivitas Kerja Dinas Kelautan dan Perikanan Bangkalan. Untuk mengukur dan menganalisa hubungan antara kedua variabel di atas, peneliti menggunakan pendekatan observasional analitik, yaitu melakukan pengamatan secara langsung kepada responden dengan penyebaran kuisioner untuk dianalisis. Penelitian ini merupakan penelitian populasi dengan 30 responden sebagai sampel serta diolah dengan SPSS Versi 13.00 dan dianalisis dengan menggunakan metode statistik, yaitu metode non probality sampling secara simple random sampling.
Kesimpulan penelitian ini adalah (1a). Faktor-faktor pelatihan dan pengembangan yang terdiri dari, perbedaan individu pegawai (X1), hubungan dengan analisis jabatan (X2), motivasi (X3), partisipasi aktif (X4), seleksi peserta (X5), seleksi  instruktur (X6) dan metode pelatihan dan pengembangan (X7) mempunyai pengaruh simultan terhadap produktivitas kerja pegawai Dinas Kelautan dan Perikanan Kabupaten Bangkalan. Terbukti dengan nilai koefisien determinasi berganda (R2) atau R square = 0,751, Fhitung 9,500 lebih besar dari Ftabel 2,37. (1b) Faktor hubungan dengan analisis jabatan tidak berpengaruh secara parsial terhadap produktivitas kerja pegawai Dinas Kelautan dan Perikanan Kabupaten Bangkalan. (2) Pengujian Hipotesis kedua menunjukkan bahwa variabel motivasi (X3) tidak terbukti, karena dilihat dari nilai thitung Sebesar 6,442 menunjukkan bahwa seleksi peserta (X5) yang mempunyai pengaruh (dominan) terhadap produktivitas kerja pegawai pada instansi Dinas Kelautan dan Perikanan Bangkalan. 

Kata kunci : Dinas Kelautan dan Perikanan, Faktor-faktor Pelatihan dan Pengembangan,  Produktivitas Kerja.
","                                      ABSTRACT

In an effort to increase labor productivity is not easy because it's one effort to increase productivity is to implement training programs and human resource development need to be implemented in the agency so that high productivity can be achieved by increasing the ability of employees to work effectively and efficiently. With the training and development of employees is also expected to be able to adjust to the new needs of the attitude, behavior skills and knowledge in accordance with changing demands. With the training and development of good employees can support the creation of a conducive working atmosphere in the institutions, which by self productivity work will increase.
          The purpose of this study is to know how much influence factors Against Productivity Training and Employment Development Department of Marine and Fisheries Bangkalan. To measure and analyze the relationship between the two variables above, the researchers used an observational analytic approach, namely to make observations directly to the spread of questionnaire respondents for analysis. This study is a population study with 30 respondents in the sample and processed with SPSS version 13.00 and analyzed using statistical methods, namely non probality sampling method is simple random sampling.
          Conclusions of this study are factors of training and development that consists of, individual differences in employees (X1), the relationship with position analysis (X2), motivation (X3), active participation (X4), selection of participants (X5), selection of instructors (X6 ) and methods of training and development (X7) have a simultaneous effect on the productivity of employees working Marine and Fisheries Agency Bangkalan. Evidenced by the value of the coefficient of multiple determination (R2) or R square = 0.751, 9.500 F-statistic F-table greater than 2.37. Factor analysis term relationship with a partial no effect on the productivity of employees working Marine and Fisheries Agency Bangkalan. Testing the second hypothesis suggests that the motivation variable (X3) is not proven, as seen from the tcount much as 6.442 indicates that the selection of participants (X5) which has a dominant influence on the productivity of employees working at the agency Bangkalan Marine and Fisheries Agency.


Keywords: Department of Marine and Fisheries, Factors Training and    Development, Work Productivity.
"
"Analisis Kinerja Keuangan Perusahaan yang terdaftar di BEI sebelum dan sesudah akuisisi
( studi pada perusahaan manufaktur yang melakukan akuisisi tahun 2008)
",Penulis : DIANA AGUSTINI DEWI,"Dosen Pembimbing I : Drs.BAMBANG SUDARSONO.,MM","Dosen Pembimbing II :PURNAMAWATI,.SE,MSi","Diana Agustini Dewi, 2013. “Analisis Kinerja Keuangan Perusahaan yang terdaftar di BEI sebelum dan sesudah akuisisi ( studi pada perusahaan manufaktur yang melakuukan akuisisi tahun 2008) Jurusan Ekonomi Manajemen, Fakultas Ekonomi, Universitas Trunojoyo Madura.

Penelitian ini bertujuan untuk menganalisis perbedaan kinerja keuangan perusahaan manufaktur antara sebelum dan sesudah akuisisi. Penelitian dilakukan terhadap perusahaan manufaktur yang terdaftar di Bursa Efek Indonesia.
	Populasi dalam penelitian ini adalah seluruh perusahaan manufaktur 
Yang terdaftar di bursa efek Indonesia yang melakukan akuisisi pada tahun 2008, yang terdiri dari 48 perusahaan. Dari populasi tersebut dipilih sample menggunakan metode purposive sampling yang didasarkan pada lima kriteria. Perusahaan manufaktur  yang terdaftar di BEI dari tahun 2004- tahun 2011,Tersedia laporan keuangan untuk 4 tahun sebelum dan 4 tahun sesudah aktivitas akuisisi,Melakukan akuisisi pada tahun 2008,Merupakan perusahaan pengakuisisi/ pengambil alih asset,Perusahaan tersebut mengakuisisi secara langsung (tidak melalui anak perusahaan). Berdasarkan kriteria yang telah disebutkan, maka diperoleh 9 perusahaan sampel. Penelitian sampel dilakukan selama empat tahun sebelum akuisisi ( tahun 2004- tahun 2007) dan empat tahun sesudah akuisisi (2008-2011).
	Variabel dalam penelitian ini adalah kinerja keuangan perusahaan yang diukur menggunakan alat analisis berupa current ratio, total asset turnover, debt ratio, return on investmen, dan earning per share.Kelima rasio tersebut kemudian dianalisisi menggunakan metode analisis Paired-samples t test.
","Diana Agustini Dewi, 2013. ""Analysis of the Financial Performance of the Company before and after the acquisition (the study of a manufacturing company melakuukan acquisitions in 2008 are listed on the Stock Exchange) Economics Department of Management, Faculty of Economics, University of Trunojoyo Madura
This study aimed to analyze the differences between the financial performance of manufacturing firms before and after the acquisition. Research conducted on manufacturing companies listed on the Indonesia Stock Exchange. The population in this study are all manufacturing companies Listed on the stock exchanges of Indonesia acquired in 2008, which consists of 48 companies. Of the sample population selected using purposive sampling method based on five criteria. Manufacturing companies listed on the Stock Exchange from 2004 - In 2011, the financial statements are available for 4 years before and 4 years after the acquisition activity, Doing acquisition in 2008, is the acquirer / take control of assets, the Company acquired directly (not through the child company). Based on the criteria mentioned, the company acquired nine samples. Studies were conducted during the four years prior to the acquisition (2004 - 2007) and four years after the acquisition (2008-2011).

Keywords: financial performance, current ratio, total asset turnover, return on the investments, debt ratio, earnings per share
"
PENGARUH GAYA KEPEMIMPINAN DEMOKRATIK TERHADAP DISIPLIN KERJA PEGAWAI DI KANTOR KEC. PUCUK KAB. LAMONGAN JAWA TIMUR,Penulis : Wahyu Kurniawan,"Dosen Pembimbing I : Dr. Dra. Hj. Iriani Ismail, MM","Dosen Pembimbing II :Dra. Hj. S. Anugrahini Irawati, MM",,
PENGARUH KEPEMIMPINAN DAN KOMPENSASI TERHADAP KINERJA PEGAWAI DINAS PENDIDIKAN KABUPATEN SAMPANG,Penulis : Hendri Wahyudi Prayitno,"Dosen Pembimbing I : Dra. Hj. S Anugrahini Irawati, MM","Dosen Pembimbing II :Helmi Buyung Aulia,S,ST,SE,.MT","Abstrak
Penelitian ini menggunakan metode kuantitatif, yang menekankan pada pengujian hipotesis. Variabel yang digunakan pada penelitian ini adalah kepemimpinan(X1), kompensasi (X2). Penelitian ini dilaksanakan di Kantor Dinas Pendidikan Kabupaten Sampang dan sampel yang digunakan adalah sebanyak 50 orang yang terdiri dari pegawai negeri sipil dan non PNS. 
Hipotesis pertama menjelaskan bahwa variabel bebas secara bersama–sama mempunyai hubungan yang signifikan secara simultan antara kepemimpinan (X1) dan kompensasi (X2) terhadap kinerja pegawai (Y), hal ini terbukti dengan nilai Fhitung pada tingkat ? = 5% sebesar 11,645 dengan nilai R2 sebesar 0,311. 
Hipotesis kedua menjelaskan bahwa variabel kompensasi sebagai variabel yang mempunyai pengaruh dominan, hal ini terbukti dengan nilai t hitung 3,072 ini berarti bahwa terdapat pengaruh positif dan signifikan secara parsial antara variabel bebas (X2) terhadap variabel terikat (Y). 
Kesimpulan penelitian ini adalah pengujian hipotesis pertama menunjukkan bahwa berdasarkan pengujian statistik secara simultan, variabel  bebas memiliki pengaruh yang signifikan terhadap variabel terikat. Pengujian hipotesis kedua membuktikan bahwa variabel kompensasi (X2) merupakan variabel yang berpengaruh dominan terhadap kinerja pada pegawai Dinas Pendidikan Kabupaten Sampang. 
Kata kunci : Kepemimpinan, Kompensasi, Kinerja
","Abstract
This research use quantitative method which emphasize in hypothesis trial. The Use of variable in this research is leaderships (X1), compensation (X2). This research takes place in education department office Sampang regency and there are 50 people used as samples whose have profession as PNS or non PNS.
The first hypothesis explain that free variable together have signify relation in simultaneously between leadership (x1) and compensation (x2) toward official performance (Y), this matter shows by values F arithmetic in level ? = 5% in grades 11,645 with values R2 in grades 0,311.
The second hypothesis explain that compensation variable as the variable that have dominant effect, this can be seen by values of t arithmetic 3,072 means that there was positive effect and significant in partial between free variable (X2) toward bundled variable (Y).
The conclusion of this research is the first hypothesis trial shows that from statistic trial in simultaneous, the free variable have significant effect toward bundled variable. The second trial hypothesis shows that compensation variable (X2) is variable which give dominant effect toward performance in education department official Sampang regency.
Keyword: leadership, compensation, employment performance
"
"Pengembangan Sumber Daya Manusia Dalam Rangka Meningkatkan Produktivitas Karyawan Pada
PT. Pos Indonesia (persero) Kantor Cabang Bangkalan
",Penulis : Ismie Novitasari Soekarno,"Dosen Pembimbing I : Dra. Hj. S. Anugrahini Irawati, MM","Dosen Pembimbing II :Faidal. S.E, MM","ABSTRAK
Penelitian ini bertujuan untuk meneliti apakah pendidikan dan pelatihan berpengaruh secara parsial dan secara simultan dalam rangka meningkatkan produktivitas karyawan, serta meniliti apakah variabel pendidikan berpengaruh dominan dalam meningkatkan produktivitas karyawan. untuk membuktikan hipotesis penelitian, alat analisis yang digunakan adalah regresi linier berganda dengan bantuan SPSS.
Hasil pengujian menunjukkan nilai Fhitung sebesar 10,542 dengan nilai signifikan Fhitung sebesar 0.000 (p<0.05) yang berarti ada pengaruh signifikan variabel pendidikan dan pelatihan secara bersama-sama dalam meningkatkan produktivitas karyawan pada PT. Pos Indonesia (persero) kantor Cabang Bangkalan. Koefisien determinasi berganda (R) atau R square sebesar 0,310 berarti secara bersama-sama 3,10% perubahan variabel produktivitas karyawan pada PT. Pos Indonesia (persero) Cabang Bangkalan disebabkan oleh variabel pendidikan dan pelatihan. Sedangkan sisanya 6,90% disebabkan oleh variabel lain yang tidak masuk dalam model ini. Dari hasil penelitian ini variabel pendidikan terbukti kebenarannya yang berpengaruh dominan dengan nilai beta sebesar 0,433.
","ABSTRACT
This study aimed to examine whether the effect of education and training partially and simultaneously in order to increase the productivity of employees, also to investigate whether the education variable dominant influences dominantly in increasing employee productivity. to prove the hypothesis of the study, an analysis tool used is multiple linear regression with SPSS. 
The test results demonstrate the value of Fcount 10.542 significantly value for 0000 (p <0.05), which means there is a significant effect of education and training variables together in improving the productivity of employees at PT. Pos Indonesia (Persero) Bangkalan branch office. The coefficient of multiple determination (R) or R square of 0.310 means collectively 3.10% movement in the variable productivity of employees at PT. Pos Indonesia (Persero) Branch Bangkalan is caused by the variable of education and training. While the remaining 6.90% are caused by other variables not included in the model. From the results of this research of course education variables can influence dominantly with beta value of 0.433.

Keywords: education, training, productivity.
"
